K_ENTIDAD_MUNICIPIO,SUPERFICIE
20258,67.59
20259,86.14
20260,142.11
20261,179.23
20262,60.85
20263,123.46
20264,61.56
20265,1184.21
20266,519.28
20267,10.64
20268,10.75
20269,103.26
20270,64.97
20271,72.89
20272,144.19
20273,109.43
20274,65.48
20275,207.74
20276,19.82
20277,972.98
20278,743.49
20279,69.55
20280,61.07
20281,19.68
20282,205.55
20283,162.17
20284,71.06
20285,103.74
20286,55.57
20287,46.7
20288,39.2
20289,29.56
20290,11.35
20291,187.89
20292,119.6
20293,44.38
20294,101.49
20295,43.3
20296,149.59
20297,117.49
20298,280.44
20299,35.43
20300,121.45
20301,8.88
20302,74.35
20303,2.83
20304,94.68
20305,46.8
20306,74.47
20307,693.91
20308,26.5
20309,101.88
20310,23.17
20311,51.54
20312,85.15
20313,69.44
20314,58.24
20315,7.67
20316,121.03
20317,81.88
20318,325.12
20319,154.64
20320,26.4
20321,109.6
20322,6.6
20323,42.11
20324,444.94
20325,564.14
20326,152.23
20327,993.73
20328,98.39
20329,93
20330,148.66
20331,45.95
20332,32.82
20333,401.77
20334,1215.53
20335,28.14
20336,165.37
20337,171.68
20338,8.45
20339,178.78
20340,180.24
20341,29.82
20342,8.22
20343,15.36
20344,206.91
20345,98.28
20346,44.07
20347,106.18
20348,230.94
20349,30.48
20350,7.11
20351,50.78
20352,46.09
20353,54.75
20354,15.03
20355,41.27
20356,27.88
20357,172.35
20358,46.67
20359,46.37
20360,26.8
20361,51.19
20362,25.57
20363,220.07
20364,637.8
20365,101.1
20366,126.61
20367,51.21
20368,36.33
20369,20.68
20370,38.59
20371,29.78
20372,38.28
20373,118.33
20374,7.1
20375,2.27
20376,18.38
20377,564.03
20378,46.86
20379,43.56
20380,14.77
20381,27.55
20382,47.42
20383,21.78
20384,56.89
20385,43.86
20386,483.79
20387,30.37
20388,49.1
20389,2.41
20390,10.14
20391,69.97
20392,159.34
20393,11.67
20394,98.53
20395,80.51
20396,7.59
20397,346.5
20398,104.42
20399,31.32
20400,95.15
20401,414.39
20402,81.34
20403,6.54
20404,61.82
20405,174.94
20406,283.55
20407,4547.03
20408,25.21
20409,16.77
20410,540.25
20411,7.38
20412,389.26
20413,511.98
20414,275.34
20415,167.37
20416,177.29
20417,324.28
20418,729.56
20419,53.9
20420,49.64
20421,147.81
20422,43.09
20423,76.82
20424,145.29
20425,55.79
20426,233.21
20427,155.46
20428,160.73
20429,52.04
20430,37.06
20431,371.28
20432,13.19
20433,34.72
20434,36.73
20435,84.47
20436,35.45
20437,153.06
20438,24.13
20439,520.73
20440,114
20441,86.1
20442,48.25
20443,87.6
20444,17.92
20445,33.59
20446,73.02
20447,500.82
20448,157.53
20449,415.7
20450,207.28
20451,85.81
20452,17.61
20453,185.99
20454,70.81
20455,89.84
20456,38.7
20457,312.09
20458,204.11
20459,325.05
20460,311.08
20461,38.42
20462,110.68
20463,100.76
20464,46.17
20465,122.08
20466,456.05
20467,637.89
20468,618.84
20469,774.14
20470,432.97
20471,25.61
20472,263.08
20473,117.28
20474,110.38
20475,183.82
20476,51.75
20477,198.17
20478,204.46
20479,20.45
20480,71.33
20481,58.08
20482,804.52
20483,95.47
20484,201.15
20485,128.8
20486,141.49
20487,109.14
20488,13.58
20489,290.88
20490,16.6
20491,251.88
20492,247.75
20493,17.07
20494,63.09
20495,137.16
20496,63.31
20497,40.95
20498,1024.22
20499,66.92
20500,334.13
20501,50.15
20502,213.01
20503,8.21
20504,100.65
20505,199.19
20506,43.58
20507,143.7
20508,71.06
20509,105.32
20510,16.5
20511,146.29
20512,64.16
20513,339.66
20514,56.25
20515,1197.77
20516,224.5
20517,113.55
20518,11.88
20519,30.54
20520,165.72
20521,26.53
20522,56.45
20523,69.64
20524,36.43
20525,646.24
20526,226.11
20527,83.42
20528,52.98
20529,60.9
20530,70.12
20531,44
20532,80.05
20533,66.58
20534,106
20535,136.45
20536,71.38
20537,431.59
20538,18.22
20539,12.47
20540,143.92
20541,22.47
20542,10.76
20543,220.32
20544,133.09
20545,143.95
20546,107.86
20547,45.81
20548,574.17
20549,486.63
20550,36.9
20551,135.71
20552,55.87
20553,81.49
20554,266.72
20555,21.31
20556,10.81
20557,112.79
20558,54.71
20559,684.42
20560,283.32
20561,59.99
20562,39.03
20563,65.69
20564,64.08
20565,81.42
20566,197.77
20567,305.43
20568,43.83
20569,83.77
20570,353.73
21001,176.88
21002,180.82
21003,608.55
21004,140.56
21005,75.13
21006,91.23
21007,185.03
21008,60.74
21009,72.25
21010,393.88
21011,79.38
21012,52.29
21013,47.15
21014,44.63
21015,135.13
21016,166.81
21017,48.2
21018,331.62
21019,293.21
21020,26.94
21021,11.34
21022,129.8
21023,133.03
21024,188.17
21025,106.73
21026,66.91
21027,392.79
21028,16.17
21029,13.99
21030,12.26
21031,115.1
21032,240.65
21033,47.46
21034,36.74
21035,249.25
21036,228.66
21037,133.74
21038,23.31
21039,61.34
21040,160.27
21041,38.17
21042,198.85
21043,181.69
21044,301.26
21045,389.76
21046,87.14
21047,804.18
21048,81.08
21049,89.61
21050,109.39
21051,325.51
21052,25.94
21053,759.68
21054,148.25
21055,128.79
21056,141.13
21057,63.75
21058,145.91
21059,88.5
21060,12.05
21061,99.57
21062,52.15
21063,79.27
21064,428.86
21065,91.52
21066,155
21067,228.08
21068,50.5
21069,231.36
21070,168.41
21071,250.95
21072,47.69
21073,138.14
21074,177
21075,74.78
21076,319.11
21077,42.13
21078,69.58
21079,50.57
21080,12.43
21081,308.3
21082,106.75
21083,561.2
21084,19.65
21085,537.05
21086,205.96
21087,601.41
21088,29.99
21089,170.34
21090,22.3
21091,22.98
21092,225.09
21093,180.34
21094,274.14
21095,11.25
21096,54.72
21097,9.51
21098,156.66
21099,244.6
21100,61.09
21101,27.78
21102,18.88
21103,108.41
21104,167.5
21105,67.17
21106,119.8
21107,62.96
21108,239.58
21109,98.46
21110,362.27
21111,217.11
21112,232.86
21113,221.18
21114,547.21
21115,186.83
21116,167.17
21117,4.11
21118,30.73
21119,58.63
21120,80.04
21121,133.02
21122,39.39
21123,45.14
21124,109.28
21125,11.78
21126,39.83
21127,142.97
21128,177.02
21129,335.32
21130,96.25
21131,24.74
21132,89.56
21133,7.25
21134,50.73
21135,72.78
21136,8.32
21137,210.55
21138,162.15
21139,96.88
21140,76.95
21141,175.08
21142,220.29
21143,110.93
21144,23.84
21145,236.75
21146,47.59
21147,286.29
21148,32.78
21149,94
21150,180.36
