K_ENTIDAD_MUNICIPIO,HOGARES,POBLACION,SUPERFICIE,DENS_HOGS,DENS_HABS,ANALF,SPRIM,ANOS_PROMEDIO_DE_ESCOLARIDAD,OVSAE,OVSEE,PL<5000,PO2SM,INGRESOPC_ANUAL,DISP_INTERNET,DISP_TV_PAGA,DISP_TEL_CELULAR,DISP_TEL_FIJO,NUM_OPS,CLASS_PEN_BAF_HABS_COAXFO,IS_PEN_BAF_HABS_COAXFO
30208,7629,24565,245.34,3109.5622401565174,3109.5622401565174,9.4,27.38,7.12,20.37,0.84,21.47,40.5,2996.82,28.8242233582383,45.4712282081531,79.315768777035,30.6593262550793,2,1,1
30031,4345,16996,249.66,1740.3668989826162,1740.3668989826162,16.74,42.8,4.68,5.35,2.64,100,81.04,1468.5,4.09666283084004,4.99424626006904,71.5765247410817,3.65937859608745,0,0,0
30157,5202,20037,272.44,1909.4112465129936,1909.4112465129936,12.1,28.41,6.41,34.82,2.25,100,67.75,1642.06,9.1958445555983,26.1254328587918,51.0003847633705,22.2585609849942,1,0,0
30032,12699,49651,659.12,1926.6597888093215,1926.6597888093215,15.39,34.6,6.15,4.43,2.08,43.17,67.6,1646,12.926348956282,38.0701063410791,67.8613627412367,16.5419456478928,1,1,1
30033,6624,23675,272.32,2432.4324324324325,2432.4324324324325,12.57,31.93,6.02,36.7,2.21,100,67.07,1677.3,3.92689925993052,18.5470472738257,58.0425917535115,14.1670442531339,1,0,0
30034,7700,26807,91,8461.538461538461,8461.538461538461,4.77,15.4,9.16,2.16,0.51,13.69,41.77,3088.45,36.0789918149928,50.0194881122515,78.5760685981551,44.3289593348057,1,1,1
30054,4098,12494,290.42,1411.0598443633357,1411.0598443633357,13.82,37.7,5.9,9.68,1.59,100,65.53,2042.45,9.37042459736457,19.5705222059541,68.4968277208394,15.8857979502196,1,0,0
30055,3563,13479,151.97,2344.541685859051,2344.541685859051,18.98,36.01,6.04,31.46,4.12,100,61.97,1764.54,3.78894190289082,43.6710637103564,59.1636261577322,14.3418467583497,1,0,0
30056,1566,6684,92.65,1690.2320561252022,1690.2320561252022,25.93,42.62,4.74,36.23,3.47,100,68.67,1102.84,1.08556832694763,46.4240102171136,52.3627075351213,12.13282247765,0,0,0
30057,3093,14394,133.79,2311.8319754839677,2311.8319754839677,18.7,43.4,4.12,9.27,2.9,100,83.59,958.25,2.42483026188166,6.9835111542192,31.8461041060459,15.9392175881021,1,0,0
30058,14730,55844,936.42,1573.0121099506632,1573.0121099506632,14.5,32.88,6.21,22.09,2.26,100,66.97,1366.26,4.68622656886715,15.3694648193425,39.1945123607715,16.0146699266503,2,1,1
30059,4742,16241,174.43,2718.5690534885052,2718.5690534885052,10.34,29.62,6.68,16.49,1.77,50.4,48.58,2120.44,13.8127372416701,32.9396878954027,71.2779417967102,17.6929565584141,1,0,0
30060,4328,16741,140.21,3086.79837386777,3086.79837386777,11.79,29.4,6.25,20.43,3.81,65.22,68.83,1800.09,8.31792975970425,35.6977818853974,71.2800369685767,10.9981515711645,1,0,0
30062,4997,21102,44.2,11305.429864253394,11305.429864253394,16.37,31.53,6.55,4.38,1.59,42.33,64.56,1887.25,6.84821786143372,19.6635963155786,65.4785742891469,7.889467360833,1,1,1
30063,4040,14565,390.42,1034.7830541468163,1034.7830541468163,13.99,38.97,5.47,11.68,3.46,100,74.38,1470.74,4.95271279243404,31.0851169736187,58.6859133897461,11.0004977600796,1,0,0
30064,983,3880,22.99,4275.772074815137,4275.772074815137,26.75,40.58,5.04,28.63,6.26,100,71.2,875.36,5.90030518819939,4.37436419125127,48.118006103764,7.73143438453713,0,0,0
30035,3272,12109,81.32,4023.610427939007,4023.610427939007,16.31,36.89,5.79,4.58,3.26,54.84,72.49,1584.31,7.43574051407588,33.4761321909424,66.2790697674418,10.250917992656,1,0,0
