K_ENTIDAD_MUNICIPIO,ANOS_PROMEDIO_DE_ESCOLARIDAD,ANOS_ESPERADOS_DE_ESCOLARIZACIÓN,INGRESOPC_ANUAL,TASA_DE_MORTALIDAD_INFANTIL,INDICE_DE_EDUCACION,INDICE_DE_SALUD,INDICE_DE_INGRESO,IDH
15105,5.82,12.79,1387.39,28.87,0.55,0.77,0.66,0.65
21133,5.64,12.93,1056.95,22.5,0.55,0.82,0.62,0.65
30083,5.21,12.42,1128.77,18.9,0.52,0.85,0.63,0.65
16030,5.01,11.52,1734.29,22.41,0.49,0.82,0.69,0.65
21170,5.78,11.56,1471.88,24.05,0.51,0.81,0.67,0.65
22013,5.83,11.37,1693.13,26.36,0.51,0.79,0.69,0.65
30070,5.39,11.49,1533.96,22.18,0.5,0.83,0.67,0.65
30051,4.97,12.02,1391.58,20.23,0.5,0.84,0.66,0.65
04006,6.06,10.34,1815.79,23.96,0.49,0.81,0.7,0.65
20196,6.67,11.88,956.98,21.26,0.55,0.83,0.6,0.65
16046,6.11,11.69,1791.51,30.84,0.53,0.75,0.7,0.65
21126,6.42,11.36,1358.9,25.4,0.53,0.8,0.65,0.65
20008,5.54,13.33,1232.45,27.63,0.55,0.78,0.64,0.65
30210,5.18,11.28,1197.63,13.94,0.49,0.9,0.63,0.65
16032,6.17,12.2,1630.95,31.77,0.54,0.74,0.68,0.65
24043,5.12,11.88,1698.02,24.97,0.5,0.8,0.69,0.65
21158,6,12.22,1430.43,28.36,0.54,0.77,0.66,0.65
21029,5.76,12.92,1416.58,30.15,0.55,0.76,0.66,0.65
20153,6.23,11.84,1535.68,29.51,0.54,0.76,0.67,0.65
16012,5.42,9.87,2333.08,22.51,0.45,0.82,0.74,0.65
10006,5.84,10.84,1741.05,24.88,0.5,0.8,0.69,0.65
21210,5.82,12.42,1324.37,26.97,0.54,0.79,0.65,0.65
08018,5.56,10.62,1859.67,23.35,0.48,0.82,0.7,0.65
20197,5.46,12.14,1631.13,28.07,0.52,0.78,0.68,0.65
12070,4.41,11.36,1618.41,16.68,0.46,0.87,0.68,0.65
10027,5.59,11.48,1678.36,26.07,0.51,0.79,0.69,0.65
21043,5.89,12.09,1576.14,29.68,0.53,0.76,0.68,0.65
30080,5.63,11.7,1519.27,25.47,0.51,0.8,0.67,0.65
21160,5.69,11.96,1343.21,24.53,0.52,0.81,0.65,0.65
04011,6.02,11.03,1778.43,27.69,0.51,0.78,0.69,0.65
16085,5.54,10.36,2181.87,25.23,0.47,0.8,0.73,0.65
21179,5.85,11.49,1390.91,24.04,0.51,0.81,0.66,0.65
20089,5.39,12.57,1156.91,22.65,0.53,0.82,0.63,0.65
21060,5.56,11.16,1558.02,23.02,0.5,0.82,0.67,0.65
30072,5.74,11.87,1487.94,26.83,0.52,0.79,0.67,0.65
20363,6.3,11.84,1181.63,25,0.54,0.8,0.63,0.65
13033,5.76,11.84,1289.11,23.77,0.52,0.81,0.65,0.65
07007,5.67,11.68,1458.78,25.12,0.51,0.8,0.66,0.65
20476,6.11,11.86,1042.91,21.16,0.53,0.83,0.61,0.65
31090,4.95,11.73,1993.46,27.36,0.49,0.78,0.71,0.65
26056,5.06,10.17,2958.36,27.04,0.45,0.78,0.77,0.65
10003,6.47,11.92,1088.72,24.67,0.55,0.8,0.62,0.65
30179,5.98,11.43,1407.27,25.08,0.52,0.8,0.66,0.65
31001,5.2,11.28,1947.03,26.32,0.49,0.79,0.71,0.65
20049,6.23,11.68,1416.59,28,0.53,0.78,0.66,0.65
07003,5.39,11.91,1491.62,25.31,0.51,0.8,0.67,0.65
20555,5.8,12.2,1536.67,29.72,0.53,0.76,0.67,0.65
20206,6.21,12.04,1285.29,27.58,0.54,0.78,0.65,0.65
20341,5.99,12.22,1031.21,22.24,0.54,0.83,0.61,0.65
24052,5.17,11.21,1800.32,24.22,0.48,0.81,0.7,0.65
05014,6.14,11.11,2269.28,33.95,0.51,0.73,0.73,0.65
20026,6.56,12.68,1099.98,29.08,0.57,0.77,0.62,0.65
07057,5.66,11.87,1296.11,23.85,0.52,0.81,0.65,0.65
07088,5.89,12.16,1324.29,27.18,0.53,0.78,0.65,0.65
20381,5.43,10.9,1511.37,20.69,0.48,0.84,0.67,0.65
15113,6.18,10.45,1851.57,27.37,0.5,0.78,0.7,0.65
15007,5.91,12.13,1458.26,29.24,0.53,0.77,0.66,0.65
20345,6.17,12.39,1294.11,29.45,0.55,0.76,0.65,0.65
21166,5.43,11.75,1416.01,23.99,0.51,0.81,0.66,0.65
14016,5.94,11.21,2290.43,33.85,0.51,0.73,0.73,0.65
16023,5.2,10.59,2049.05,23.99,0.47,0.81,0.72,0.65
11030,5.9,11.54,1769.22,30.38,0.52,0.76,0.69,0.65
20414,5.65,11.61,1475.62,25.59,0.51,0.8,0.67,0.65
11034,5.69,12.8,1631.14,33.48,0.55,0.73,0.68,0.65
31037,5.48,11.62,1552.42,25.78,0.51,0.8,0.67,0.65
08033,5.52,12.63,1158.77,24.76,0.53,0.8,0.63,0.65
04010,5.59,11.59,1575.6,26.79,0.51,0.79,0.68,0.65
30007,5.41,11.73,1605.98,26.85,0.51,0.79,0.68,0.65
21076,5.35,11.8,1571.99,26.41,0.51,0.79,0.68,0.65
16035,5.49,12.06,1756.05,30.74,0.52,0.75,0.69,0.65
20417,5.46,12.44,1316.91,26.59,0.53,0.79,0.65,0.65
11040,5.89,12.15,1870.68,34.66,0.53,0.72,0.7,0.65
31086,5.08,11.93,1783.72,28.12,0.5,0.78,0.69,0.65
20314,5.59,11.94,1263.71,24,0.52,0.81,0.64,0.65
20285,6.01,11.77,1482.9,29.09,0.53,0.77,0.67,0.65
30143,5.25,11.65,1645.4,26.14,0.5,0.79,0.68,0.65
24046,5.85,10.89,1645.45,25.9,0.5,0.79,0.68,0.65
20280,6.12,12.25,1180.84,27.28,0.54,0.78,0.63,0.65
30056,4.74,13.7,1102.84,24.78,0.54,0.8,0.62,0.65
30041,5.19,13.15,1394.72,29.9,0.54,0.76,0.66,0.65
05036,6.67,11.63,1825.96,36.24,0.55,0.71,0.7,0.65
21157,5.5,11.42,1680.35,27.17,0.5,0.78,0.69,0.65
28010,5.69,10.85,1669.96,25.2,0.49,0.8,0.68,0.65
14027,5.64,12.4,1778.39,33.8,0.53,0.73,0.69,0.65
31075,5.14,11.55,2061.76,29.68,0.49,0.76,0.72,0.65
20172,6.41,12.11,867.51,21.22,0.55,0.83,0.59,0.65
07013,6.04,11.53,1387.17,27.15,0.52,0.78,0.66,0.65
13026,6.29,12.27,1090.66,26.87,0.55,0.79,0.62,0.65
13060,5.35,11.44,1395.28,22.53,0.5,0.82,0.66,0.65
12025,5.63,11.82,1246.76,23.82,0.52,0.81,0.64,0.65
21054,5.25,11.13,1887.15,26.67,0.48,0.79,0.7,0.65
07079,5.7,10.51,1746.02,24.69,0.48,0.8,0.69,0.64
16077,5.32,12.1,1620.66,29.07,0.51,0.77,0.68,0.64
20141,5.68,12,1210.04,24.52,0.52,0.81,0.64,0.64
12060,5.2,10.71,1453.89,18.47,0.47,0.86,0.66,0.64
15008,5.61,12.25,1374.34,28.19,0.53,0.77,0.66,0.64
30027,5.31,12.84,1245.15,27.27,0.53,0.78,0.64,0.64
31042,5.2,11.51,1443.56,23.07,0.49,0.82,0.66,0.64
12012,5.39,11.51,1458.2,24.48,0.5,0.81,0.66,0.64
30106,5.42,11.6,1138.26,19.58,0.5,0.85,0.63,0.64
08049,5.61,11.84,1659.38,30.19,0.52,0.76,0.68,0.64
21129,5.04,11.52,1600.37,24.33,0.49,0.81,0.68,0.64
07087,5.77,10.89,1734.15,27.32,0.49,0.78,0.69,0.64
20237,5.14,11.17,1437.67,20.87,0.48,0.84,0.66,0.64
20278,5.49,11.3,1468.5,24.35,0.5,0.81,0.67,0.64
21065,5.08,10.85,1835.23,23.97,0.47,0.81,0.7,0.64
20244,6.26,11.88,1027.06,24.07,0.54,0.81,0.61,0.64
28005,5.56,11.1,1572.56,25.31,0.49,0.8,0.68,0.64
20221,5.93,12.53,1160.09,28.14,0.55,0.78,0.63,0.64
20028,5.32,10.84,1654.5,23.57,0.48,0.81,0.68,0.64
20168,5.41,11.95,1569.63,28.92,0.51,0.77,0.68,0.64
15026,6.34,12.18,1830.82,37.85,0.55,0.69,0.7,0.64
20204,5.92,12.55,882.17,21.99,0.55,0.83,0.59,0.64
12036,5.57,12.38,1222.08,26.86,0.53,0.79,0.64,0.64
11022,5.43,10.83,1742.97,25.62,0.48,0.8,0.69,0.64
31097,5.44,12.29,1588.68,31.21,0.52,0.75,0.68,0.64
20056,5.39,11.97,1495.43,28.23,0.51,0.77,0.67,0.64
20112,5.52,13.29,1147.74,29.65,0.55,0.76,0.63,0.64
20520,4.95,11.34,1479.83,21.97,0.48,0.83,0.67,0.64
21033,6.56,11.64,1084.12,26.5,0.54,0.79,0.62,0.64
20086,6.43,13.47,910.28,30.07,0.59,0.76,0.59,0.64
21059,5.58,11.53,1236.22,23.08,0.51,0.82,0.64,0.64
21109,5.1,12.13,1417.35,26.26,0.51,0.79,0.66,0.64
30197,5.21,12.13,1435.96,27.23,0.51,0.78,0.66,0.64
24041,6.27,12.88,946.54,27.76,0.57,0.78,0.6,0.64
12027,4.35,11,1674.87,18.71,0.45,0.86,0.69,0.64
31069,5.22,11.77,1481.48,26.29,0.5,0.79,0.67,0.64
24029,5.56,12.7,1201.68,28.55,0.54,0.77,0.64,0.64
20364,5.4,11.25,1753.39,28.34,0.49,0.77,0.69,0.64
