HOGARES,POBLACION,PO2SM,IM,SUPERFICIE,INFRA_INDEX,ALL_ACCESS,NUM_OPS,DENS_HOGS,PEN_CLASS
4997,21102,64.56,0.111,44.2,-0.38,544,1,11305.429864253394,1
4040,14565,74.38,0.557,390.42,-0.31,217,1,1034.7830541468163,0
983,3880,71.2,1.458,22.99,-0.75,0,0,4275.772074815137,0
3272,12109,72.49,0.348,81.32,-0.16,293,1,4023.610427939007,0
2582,10482,67.71,0.227,43.94,-0.15,154,1,5876.194811106054,0
1879,8566,82.12,1.347,41.76,-0.55,0,0,4499.521072796935,0
25295,92127,40.36,-1.032,202.8,1.28,19180,3,12472.879684418145,2
94675,319187,29.95,-1.383,312.08,1.41,62320,3,30336.772622404515,2
15167,56897,33.62,-0.834,277.57,1.14,6845,2,5464.2072270058,2
570,2236,71.93,1.065,9.44,-0.77,0,0,6038.135593220339,0
1695,5718,68.06,0.518,130.41,-0.17,114,1,1299.746951920865,0
4998,19859,77.73,0.977,310.92,-0.74,73,1,1607.487456580471,0
61746,218153,46.51,-1.063,159.65,1.14,39756,3,38675.85342937676,2
18023,57147,48.99,-0.551,517.95,0.59,6613,2,3479.6795057437976,1
4216,16353,75.97,0.482,76.6,-0.61,143,1,5503.916449086162,0
13275,58479,61.24,0.635,158.01,-0.33,1754,1,8401.367002088477,1
36984,129527,39.83,-0.713,277.05,0.78,9881,2,13349.214943151053,1
5940,21013,56.76,0.153,537.68,0.21,264,1,1104.746317512275,0
3977,16754,72.41,1.695,80.43,-0.67,0,0,4944.672385925649,0
5824,22570,77.02,0.994,234.05,-0.47,656,1,2488.357188634907,0
3354,12238,59.32,-0.162,34.69,0,289,1,9668.492360910926,0
7667,27940,54.43,-0.477,149.62,0.43,2197,2,5124.314931158936,1
5390,19478,55.53,-0.474,391.15,0.6,746,1,1377.9879841493034,0
22258,78336,39.55,-0.858,415.6,1.07,5160,3,5355.63041385948,1
7071,27297,73.9,0.751,240.74,-0.5,450,1,2937.1936529035474,0
3168,18367,79.87,1.549,43.29,-0.92,0,0,7318.087318087318,0
18311,66168,47.35,-0.968,61.59,1.32,10432,2,29730.47572657899,2
7331,24791,58.56,-0.306,179.46,0.35,3639,2,4085.0328764069986,2
5277,19587,71.53,0.896,1065.18,-0.44,62,1,495.4092266095871,0
15134,60674,61.92,-0.126,202.44,0.29,4119,2,7475.79529737206,1
5741,21391,63.11,0.347,522.28,-0.43,485,1,1099.2188098338056,0
12455,43309,62.18,0.359,709.95,-0.42,1154,1,1754.3488978097048,0
1849,7221,51.34,-0.552,18.72,0.37,0,0,9877.136752136752,0
5512,17105,69.52,0.621,396.92,-0.31,203,1,1388.692935604152,0
3559,13474,79.56,2.137,155.33,-1,0,0,2291.2508852121287,0
12518,43349,58.44,-0.126,926.96,0.13,4467,2,1350.4358332614136,1
3785,13591,79.69,0.628,176.85,-0.45,257,1,2140.2318348883236,0
2923,11442,74.1,0.789,149.73,-0.75,0,0,1952.1805917317843,0
14271,54132,66.82,1.264,672.4,-1.07,0,0,2122.397382510411,0
5565,23005,74.9,0.255,129.89,-0.45,327,1,4284.394487643391,0
4498,15800,27.66,-0.625,156.72,0.38,1212,1,2870.0867789688614,0
6666,24896,55.73,-0.134,52.38,0.45,387,1,12726.2313860252,1
1862,5790,64.46,0.464,347.23,0.09,203,1,536.2439881346658,1
18507,68823,51.13,-0.725,137.19,0.73,3821,2,13490.05029521102,1
10350,44488,81.92,0.518,207.88,-0.45,2252,2,4978.8339426592265,1
1493,5006,79.86,0.415,72.72,-0.22,989,2,2053.0803080308033,3
12318,41644,49.39,-0.446,316.81,0.49,4028,2,3888.134844228402,1
3475,11361,43.37,-0.143,132.14,-0.12,232,1,2629.786589980324,0
7887,29413,59.61,0.466,1413.02,-0.04,1204,1,558.1661972229692,0
4224,16682,55.52,-0.206,56.27,0.55,399,1,7506.664297138795,0
6902,22923,70.43,0.355,535.42,-0.24,771,1,1289.081468753502,0
11073,38895,67.61,0.139,992.11,-0.01,1081,1,1116.1060769471128,1
4503,15916,77.78,0.481,187.82,-0.19,195,1,2397.5082525822595,0
8118,26920,36.38,-1.198,131.32,0.87,7247,2,6181.84587267743,3
5514,26880,82.52,1.475,137.88,-0.93,0,0,3999.129677980853,0
407,1534,79.42,-0.039,17.68,-0.87,0,0,2302.0361990950228,0
21199,81827,57.09,0.506,3508.92,0.44,4591,2,604.1460050385874,1
661,2920,60.13,1.022,51.01,-1.12,0,0,1295.824348167026,0
4615,19725,68.22,0.128,99.79,-0.51,602,1,4624.711894979457,1
6016,19606,49.29,-0.97,83.98,0.71,2860,1,7163.610383424624,1
1411,5830,77.6,1.794,33.71,-1.09,0,0,4185.701572233758,0
733,3043,68.59,0.765,13.75,-0.98,0,0,5330.909090909091,0
4078,18096,70.18,0.196,110.65,-0.27,809,1,3685.494803434252,0
6971,23408,46.97,-0.413,247.25,-0.21,1685,2,2819.4135490394337,1
9299,37285,57.71,-0.163,69.44,0.21,5447,1,13391.417050691245,1
31320,110415,50.94,-0.678,402.48,0.47,15130,2,7781.75313059034,1
2880,12332,73.12,1.794,43.62,-0.95,0,0,6602.475928473177,0
4709,17312,70.49,1.073,296.44,-0.96,133,1,1588.5170692214276,0
22865,75346,33.52,-0.973,397.29,0.93,13441,3,5755.241762943944,2
1114,4685,79.23,0.348,29.48,-0.66,0,0,3778.8331071913162,0
46080,157393,39.61,-0.643,2117.89,1.18,29243,3,2175.750393079905,2
18008,64249,67.04,-0.186,523.4,0.23,3511,2,3440.5808177302256,1
2908,11646,82.59,3.334,66.17,-1.32,0,0,4394.740819102312,0
4909,17504,39.38,-0.223,249.67,0.4,851,1,1966.1953778988266,0
8506,30039,19.62,-1.444,28.16,1.66,5053,2,30205.965909090908,2
5797,21816,65.06,-0.358,108.41,0.02,726,1,5347.292685176644,1
1152,4559,74.73,0.653,18.54,-0.4,285,1,6213.592233009709,1
8321,28295,47.5,-0.92,135.95,1.32,4378,2,6120.632585509379,1
3392,10866,63.93,-0.12,355.57,0.12,411,1,953.9612453244088,0
10102,37908,54.23,-0.694,64.44,0.68,17,1,15676.598386095595,0
4544,16710,59.75,-0.106,78.02,0.44,1319,1,5824.147654447578,0
6462,24020,73.06,0.512,213.84,-0.35,880,1,3021.885521885522,0
37407,126005,43.19,-1.538,27.7,1.78,34198,3,135043.321299639,2
1765,5703,67.58,0.09,49.84,0.03,368,1,3541.3322632423756,0
4482,16222,53.97,-0.032,22.32,-0.09,0,0,20080.645161290322,0
6811,23244,55.83,0.501,2391.49,0.03,442,1,284.8015254088456,0
4890,17480,75.37,0.797,311.65,-0.74,0,0,1569.0678645916896,0
28013,100549,46.38,-0.464,3168.15,0.42,7391,1,884.2068715180783,1
42151,161097,53.33,0.547,1456.32,0.21,11824,2,2894.3501428257528,1
9817,33392,41.87,-0.549,388.03,0.09,2124,2,2529.959023786821,1
8483,31890,69.07,0.059,400.79,-0.24,1138,1,2116.5697746949772,1
